filename,title,feature,role,level
./metadata.md,,,User,
./help/product-guide/TOC.md,,,,
help/product-guide/overview.md,Tutorials for Experience Manager Guides,Aem Guides Turotials,User,
help/product-guide/./user-guide/rebranding-disclaimer.md,Disclaimer,Disclaimer,"User, Leader, Admin, Developer",
help/product-guide/./release-info/latest-release-info.md,AEM Guides releases,Release Notes,Leader,
help/product-guide/./release-info/deploy-xml-on-aemaacs.md,How to add [!DNL AEM Guides] to your [!DNL AEM as a Cloud Service] environment,Installation,Leader,
help/product-guide/./release-info/whats-new-2023.12.0.md,"Release Notes | What's New in the Adobe Experience Manager Guides, December 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.12.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, December 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.11.0.md,"Release Notes | What's New in the Adobe Experience Manager Guides, November 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.11.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, November 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.10.0.md,"Release Notes | What's New in Adobe Experience Manager Guides, October 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.10.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, October 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.9.0.md,"Release Notes | What's New in Adobe Experience Manager Guides, September 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.9.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, September 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.7.0.md,"Release Notes | What's New in Adobe Experience Manager Guides, July 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.7.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, July 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.6.0.md,"Release Notes | What's New in Adobe Experience Manager Guides, June 2023 release",What's New,Leader,
help/product-guide/./release-info/release-notes-2023.6.0.md,"Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides, June 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.4.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, April 2023 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2023.4.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, April 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.3.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, March 2023 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2023.3.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, March 2023 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-2023.2.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, February 2023 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2023.2.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, February 2023 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.11.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, November 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.10.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, October 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.9.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, September 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.8.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, August 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.5.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, May 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.4.0.md,"Release Notes | Adobe Experience Manager Guides as a Cloud Service, April 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.3.0.md,"Release Notes for [!DNL AEM Guides], March 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.2.0.md,"Release Notes for [!DNL AEM Guides], February 2022 release",Release Notes,Leader,
help/product-guide/./release-info/release-notes-2022.1.0.md,"Release Notes for [!DNL AEM Guides], January 2022 release",Release Notes,Leader,
help/product-guide/./release-info/whats-new-4.3.1-release.md,Release Notes | What's New in Adobe Experience Manager Guides 4.3.1 release,What's New,Leader,
help/product-guide/./release-info/whats-new-4.3-release.md,Release Notes | What's New in Adobe Experience Manager Guides 4.3.0 release,What's New,Leader,
help/product-guide/./release-info/release-notes-4.3.1.md,Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides 4.3.1 release,Release Notes,Leader,
help/product-guide/./release-info/release-notes-4.3.md,Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides 4.3.0 release,Release Notes,Leader,
help/product-guide/./release-info/whats-new-4.2.1-release.md,Release Notes | What's New in Adobe Experience Manager Guides 4.2.1 release,What's New,Leader,
help/product-guide/./release-info/whats-new-4.2-release.md,Release Notes | What's New in Adobe Experience Manager Guides 4.2 release,What's New,Leader,
help/product-guide/./release-info/release-notes-4.2.1.md,Release Notes | Upgrade instructions and fixed issues in Adobe Experience Manager Guides 4.2.1 release,Release Notes,Leader,
help/product-guide/./release-info/release-notes-4.2.md,Release Notes | Adobe Experience Manager Guides 4.2 release,Release Notes,Leader,
help/product-guide/./release-info/release-notes-4.1.md,Release Notes | Adobe Experience Manager Guides 4.1 release,Release Notes,Leader,
help/product-guide/./user-guide/intro.md,About Adobe Experience Manager Guides,Introduction,User,
help/product-guide/./user-guide/intro-how-dxml-works.md,How AEM Guides works,Introduction,User,
help/product-guide/./user-guide/intro-dxml-features.md,Key AEM Guides features,Introduction,User,
help/product-guide/./user-guide/authoring.md,Manage content,Content Management,User,
help/product-guide/./user-guide/authoring-upload-existing-files.md,Upload files,Content Management,User,
help/product-guide/./user-guide/authoring-file-management.md,Manage files and folders,Content Management,User,
help/product-guide/./user-guide/authoring-download-assets.md,Download files,Content Management,User,
help/product-guide/./user-guide/authoring-content.md,Author content,Authoring,User,
help/product-guide/./user-guide/create-preview-topics.md,Create and preview topics,Authoring,User,
help/product-guide/./user-guide/web-editor-create-topics.md,Create topics,Authoring,User,
help/product-guide/./user-guide/web-editor-preview-topics.md,Preview a topic,Authoring,User,
help/product-guide/./user-guide/authoring-content-xml-doc.md,Author content using AEM Guides,Authoring,User,
help/product-guide/./user-guide/web-editor.md,Work with the Web Editor,"Authoring, Web Editor",User,
help/product-guide/./user-guide/web-editor-launch-editor.md,Launch the Web Editor,"Authoring, Web Editor",User,
help/product-guide/./user-guide/web-editor-edit-topics.md,Edit topics in the Web Editor,"Authoring, Web Editor",User,
help/product-guide/./user-guide/web-editor-features.md,Know the Web Editor features,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-keyboard-shortcuts.md,Keyboard shortcuts in the Web Editor,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-other-features.md,Other features in the Web Editor,"Authoring, Web Editor",User,
help/product-guide/./user-guide/web-editor-views.md,Web Editor views,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/support-schematron-file.md,Support for Schematron files,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-markdown-topic.md,Author Markdown documents,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-apply-citations.md,Add and manage citations in your content,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-content-snippet.md,Insert a content snippet from your data source,"Authoring, Features of Web Editor",User,
help/product-guide/./user-guide/web-editor-manage-output-presets.md,Manage Global and Folder Profile output presets,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/web-editor-article-publishing.md,Article-based publishing from the Web Editor,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/web-editor-article-publishing-presets.md,Create output presets from the Web Editor,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/web-editor-article-publishing-output.md,Generate output from the Repository panel,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/web-editor-quick-generate-panel.md,Use Quick Generate panel,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/translate-documents-web-editor.md,Translate documents from the Web Editor,"Authoring, Features of Web Editor, Translation",User,
help/product-guide/./user-guide/web-editor-baseline.md,Create and manage baselines from the Web Editor,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/web-editor-document-states.md,Document state,"Authoring, Features of Web Editor, Document State",User,
help/product-guide/./user-guide/web-editor-use-label.md,Use labels,"Authoring, Features of Web Editor, Publishing",User,
help/product-guide/./user-guide/map-editor.md,Work with the Map Editor,"Authoring, Map Editor",User,
help/product-guide/./user-guide/map-editor-create-map.md,Create a map,"Authoring, Map Editor",User,
help/product-guide/./user-guide/create-maps-customized-templates.md,Create maps based on customized templates,"Authoring, Map Editor",User,
help/product-guide/./user-guide/map-editor-advanced-map-editor.md,Work with the Advanced Map Editor,"Authoring, Map Editor",User,
help/product-guide/./user-guide/map-editor-basic-map-editor.md,Work with the Basic Map Editor,"Authoring, Map Editor",User,
help/product-guide/./user-guide/map-editor-other-features.md,Other features in the map editors,"Authoring, Map Editor",User,
help/product-guide/./user-guide/ditaval-editor.md,Use DITAVAL editor,"Authoring, DITAVAL Editor",User,
help/product-guide/./user-guide/author-desktop-tools.md,Author content using desktop tools,"Authoring, Desktop Tools",User,
help/product-guide/./user-guide/author-desktop-framemaker.md,Work with FrameMaker,"Authoring, Desktop Tools",User,
help/product-guide/./user-guide/author-desktop-oxygen.md,Work with Oxygen,"Authoring, Desktop Tools",User,
help/product-guide/./user-guide/review.md,Review topics or maps,Reviewing ,User,
help/product-guide/./user-guide/authoring-create-dita-project.md,Create a DITA project,Reviewing ,User,
help/product-guide/./user-guide/review-send-topics-for-review.md,Send topics for review,Reviewing ,User,
help/product-guide/./user-guide/reassign-review-using-notification.md,Reassign review task using notification,Reviewing ,User,
help/product-guide/./user-guide/review-topics.md,Review topics,Reviewing ,User,
help/product-guide/./user-guide/review-address-review-comments.md,Address review comments,Reviewing ,User,
help/product-guide/./user-guide/review-manage-tasks-review-dashboard.md,Manage review tasks using the Review Dashboard,Reviewing ,User,
help/product-guide/./user-guide/review-view-completed-task.md,View a completed review task,Reviewing ,User,
help/product-guide/./user-guide/manage-metadata.md,Manage metadata,Metadata Management,User,
help/product-guide/./user-guide/metadata-dita.md,Work with metadata in AEM,Metadata Management,User,
help/product-guide/./user-guide/web-editor-smart-tagging.md,Smart Tagging,Metadata Management,User,
help/product-guide/./user-guide/map-editor-bulk-tagging.md,Bulk tagging of DITA content,Metadata Management,User,
help/product-guide/./user-guide/translation.md,Learn how to translate content,Translation,User,
help/product-guide/./user-guide/translation-first-time.md,Best practices for content translation,Translation,User,
help/product-guide/./user-guide/translation-view-trans-state-6234.md,View translation status,Translation,User,
help/product-guide/./user-guide/translation-modified-topics-6234.md,Translate modified topics,Translation,User,
help/product-guide/./user-guide/generate-output.md,Output generation,Publishing,User,
help/product-guide/./user-guide/generate-output-understand-presets.md,Understanding the output presets,Publishing,User,
help/product-guide/./user-guide/generate-output-aem-site.md,AEM Site,Publishing,User,
help/product-guide/./user-guide/generate-output-pdf.md,Generate PDF,Publishing,User,
help/product-guide/./user-guide/generate-output-knowledge-base.md,Knowledge Base,Publishing,User,
help/product-guide/./user-guide/generate-output-html5.md,Use HTML5,Publishing,User,
help/product-guide/./user-guide/generate-output-epub.md,EPUB Preset,Publishing,User,
help/product-guide/./user-guide/generate-output-custom.md,Custom,Publishing,User,
help/product-guide/./user-guide/generate-output-json.md,JSON,Publishing,User,
help/product-guide/./user-guide/generate-output-use-variables.md,"Use variables for setting the Destination Path, Site Name, or File Name options",Publishing,User,
help/product-guide/./user-guide/generate-output-create-edit-preset.md,"Create, edit, duplicate, or remove an output preset",Publishing,User,
help/product-guide/./user-guide/pass-metadata-dita-ot.md,Pass on the metadata to the output using DITA-OT,"Publishing, Metadata Management",User,
help/product-guide/./user-guide/generate-output-conditional-attribute-profiling.md,Conditional attribute profiling,Publishing,User,
help/product-guide/./user-guide/generate-output-use-condition-presets.md,Use condition presets,Publishing,User,
help/product-guide/./user-guide/generate-output-use-baseline-for-publishing.md,Work with Baseline,Publishing,User,
help/product-guide/./user-guide/generate-output-for-a-dita-map.md,Generate output for a DITA map from the map console,Publishing,User,
help/product-guide/./user-guide/generate-output-use-map-collection-output-generation.md,Use Map Collection for output generation,Publishing,User,
help/product-guide/./web-editor/native-pdf-web-editor.md,Native PDF | PDF output generation,"Publishing, Web Editor, Native PDF Output",User,
help/product-guide/./web-editor/configure-additional-special-characters.md,Configure additional special characters in Web Editor toolbar,Web Editor,User,
help/product-guide/./user-guide/generate-output-publish-dashboard.md,Manage publish tasks using the Publish Dashboard,Publishing,User,
help/product-guide/./user-guide/generate-output-basic-troubleshooting.md,Basic troubleshooting,"Publishing, Troubleshooting",User,
help/product-guide/./user-guide/publish-content-fragment.md,Publish a topic to a content fragment,Publishing,User,
help/product-guide/./user-guide/conf-bulk-activation.md,Bulk Activation of published content,"Publishing, Bulk Activation",User,
help/product-guide/./user-guide/conf-bulk-activation-create-map-collection.md,Create a bulk activation map collection,"Publishing, Bulk Activation",User,
help/product-guide/./user-guide/conf-bulk-activation-publish-map-collection.md,Activate output,"Publishing, Bulk Activation",User,
help/product-guide/./user-guide/conf-bulk-activation-edit-map-collection.md,Edit a bulk activation map collection,"Publishing, Bulk Activation",User,
help/product-guide/./user-guide/conf-bulk-activation-delete-map-collection.md,Delete a bulk activation map collection,"Publishing, Bulk Activation",User,
help/product-guide/./user-guide/fm-output-generatation.md,Generate output of FrameMaker documents,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-understand-presets.md,Introduction to the output presets,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-pdf-preset.md,PDF,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-html5-preset.md,HTML5,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-epub-preset.md,EPUB,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-generate.md,Generate output of .book or .fm files,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/fm-output-view-status.md,View the status of the output generation task,Publishing Framemaker Documents,User,
help/product-guide/./user-guide/reports-intro.md,Reports,Report Generation,User,
help/product-guide/./user-guide/reports-web-editor.md,DITA map report from the Web Editor,Report Generation,User,
help/product-guide/./user-guide/reports-ditamap.md,DITA map report from the map dashboard,Report Generation,User,
help/product-guide/./user-guide/reports-content-reuse.md,Content Reuse Report,Report Generation,User,
help/product-guide/./user-guide/reports-convertion-status.md,Conversion Status Report,Report Generation,User,
help/product-guide/./user-guide/reports-reverted-file-version-history.md,Reverted files version history report,Report Generation,User,
help/product-guide/./install-guide/introduction.md,About this guide,Introduction,Admin,Experienced
help/product-guide/./install-guide/download-install.md,Download and install,"Introduction, Installation",Admin,Experienced
help/product-guide/./install-guide/download-install-technical-requirements.md,Technical requirements,"Introduction, Installation",Admin,Experienced
help/product-guide/./install-guide/download-install-aem.md,Install Adobe Experience Manager,"Introduction, Installation",Admin,Experienced
help/product-guide/./install-guide/download-install-aemg-first-time.md,Download and install AEM Guides for the first time,"Introduction, Installation",Admin,Experienced
help/product-guide/./install-guide/download-install-configure-dispatcher.md,Configure Dispatcher,Installation,Admin,Experienced
help/product-guide/./install-guide/download-install-verify-aemg-installation.md,Verify AEM Guides installation,Installation,Admin,Experienced
help/product-guide/./install-guide/upgrade-xml-documentation.md,Upgrade Adobe Experience Manager Guides,Installation,Admin,Experienced
help/product-guide/./install-guide/download-install-unistall-aemg.md,Uninstall AEM Guides,Installation,Admin,Experienced
help/product-guide/./install-guide/download-install-recommend-perf-optimiz.md,Recommendations for performance optimization,Performance Optimization,Admin,Experienced
help/product-guide/./install-guide/user-admin-sec.md,User administration and security,Manage Users,Admin,Experienced
help/product-guide/./install-guide/migrate-uuid-non-uuid.md,Non-UUID to UUID content migration,Migration,Admin,Experienced
help/product-guide/./install-guide/migrate-non-uuid-uuid-with-versions.md,Convert non-UUID content with versions to UUID content,Migration,Admin,Experienced
help/product-guide/./install-guide/migrate-non-uuid-uuid-without-versions.md,Convert non-UUID  content without versions to UUID content,Migration,Admin,Experienced
help/product-guide/./install-guide/migrate-content.md,Migrate existing content,Migration,Admin,Experienced
help/product-guide/./install-guide/migrate-content-upload-existing-dita-content.md,Upload existing DITA content,Migration,Admin,Experienced
help/product-guide/./install-guide/migrate-content-non-dita.md,Migrate non-DITA content,Migration,Admin,Experienced
help/product-guide/./install-guide/dita-ot-specialization.md,Use custom DITA-OT and DITA specialization,DITA-OT Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-file-names.md,Configure filenames,Filename Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-auto-uuid-filenames.md,Configure auto-filenames based on UUID,Filename Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-file-names-valid-regx.md,Configure Regx for valid file name characters,Filename Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-file-names-valid-regx-aem-site-output.md,Configure valid file names for AEM Site output,Filename Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-template-tags.md,Configure topic and map templates,Template Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-template-tags-custom-dita-topic-template.md,Configure custom DITA topic template,Template Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-template-tags-custom-dita-map-templates.md,Configure custom DITA map template,Template Configuration,Admin,Experienced
help/product-guide/./install-guide/customize-doc-state.md,Configure document states,Document State,Admin,Experienced
help/product-guide/./install-guide/conf-web-editor.md,Customize Web Editor,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-web-editor-customize-toolbar.md,Customize toolbar,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/configure-default-value-tags-view.md,Configure default value for the Tags View,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-checkin-checkout-title.md,Configure title for Cehck in and Check out icons,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-uuid-based-links.md,Configure display of UUID-based links,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/open-dita-files-same-tab.md,Open DITA topic or map files in same tab,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/configure-custom-panel.md,Configure a custom panel in the left panel,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/auto-save-in-editor.md,Configure file auto-save in the Web Editor,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-custom-file-filters.md,Configure filters for file browse dialog,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-save-as-new-version-close.md,Configure prompt to save as a new version on close,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-checkin-file-close.md,Configure prompt to check in a file on close,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-special-chars.md,Configure allowed special characters,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/auto-generate-ids.md,Auto-generate element IDs,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/customize-aem-custom-dictionary.md,Customize AEM's default dictionary,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/config-text-filters.md,Configure text filters,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-query-limitreads.md,Configure the number of LimitReads for a query,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/configure-article-based-publishing.md,Install packages for Article-based publishing,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-data-source-connector.md,Configure a data source connector,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-data-source-connector-tools.md,Configure a data source connector using tools,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-map-editor.md,Set the Advanced Map Editor as default,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/auto-add-navtitle.md,Include @navtitle attribute by default,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-edit-in-oxygen.md,Configure the option to edit in Oxygen,Web Editor Configuration,Admin,Experienced
help/product-guide/./install-guide/conf-folder-level.md,Configure global or folder-level profiles,Profiles,Admin,Experienced
help/product-guide/./install-guide/version-management.md,Version management,Version Management,Admin,Experienced
help/product-guide/./install-guide/integrate-desktop-editors.md,Integrate desktop-based XML editors,Framemaker Integration,Admin,Experienced
help/product-guide/./install-guide/conf-output-generation.md,Configure output generation settings,Output Generation,Admin,Experienced
help/product-guide/./native-pdf/pdf-template.md,Create and customize Native PDF templates,Output Generation,Admin,Experienced
